site_number,site,gacc,state,grup,lat,lng,active,currency,url
131,Hastings Old Growth,SOCC,CA,CDF BEU,36.384722222222,-121.55027777778,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Hastings Old Growth&gacc=SOCC&state=CA&grup=CDF BEU
132,Hayfork Compound,NOCC,CA,Shasta-Trinity NF,40.549166666667,-123.16583333333,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=Hayfork Compound&gacc=NOCC&state=CA&grup=Shasta-Trinity NF
133,Hazel,NOCC,CA,Eldorado NF,38.750833333333,-120.49972222222,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Hazel&gacc=NOCC&state=CA&grup=Eldorado NF
134,Henrys,NOCC,CA,Eldorado NF,38.605555555556,-120.58416666667,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Henrys&gacc=NOCC&state=CA&grup=Eldorado NF
135,Highway 168,SOCC,CA,SCE,37.148055555556,-119.26611111111,0,1,http://www.wfas.net/nfmd/public/download_site_data.php?site=Highway 168&gacc=SOCC&state=CA&grup=SCE
136,Hog Hole,NOCC,CA,CalFire Mendocino Unit,39.709166666667,-123.29944444444,0,1,http://www.wfas.net/nfmd/public/download_site_data.php?site=Hog Hole&gacc=NOCC&state=CA&grup=CalFire Mendocino Unit
137,Hogsback,NOCC,CA,Lassen NF,40.268888888889,-121.86805555556,0,1,http://www.wfas.net/nfmd/public/download_site_data.php?site=Hogsback&gacc=NOCC&state=CA&grup=Lassen NF
138,Hollister,NOCC,CA,PGE - NOCC,36.779444444444,-121.46861111111,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=Hollister&gacc=NOCC&state=CA&grup=PGE - NOCC
139,Holst Rd,NOCC,CA,PGE - NOCC,38.496944444444,-122.61333333333,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Holst Rd&gacc=NOCC&state=CA&grup=PGE - NOCC
140,Horse,NOCC,CA,BLM -Northern CA District,40.583055555556,-120.53583333333,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Horse&gacc=NOCC&state=CA&grup=BLM -Northern CA District
141,HWY 20,NOCC,CA,PGE - NOCC,39.031388888889,-122.45083333333,0,1,http://www.wfas.net/nfmd/public/download_site_data.php?site=HWY 20&gacc=NOCC&state=CA&grup=PGE - NOCC
142,HWY 3 & Rush CK,NOCC,CA,Shasta-Trinity NF,40.789722222222,-122.89388888889,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=HWY 3 & Rush CK&gacc=NOCC&state=CA&grup=Shasta-Trinity NF
143,Irish Hills,SOCC,CA,CDF San Luis Obispo Unit,35.253888888889,-120.7075,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Irish Hills&gacc=SOCC&state=CA&grup=CDF San Luis Obispo Unit
144,Island Meadow,NOCC,CA,Modoc NF,41.905555555556,-120.64944444444,1,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Island Meadow&gacc=NOCC&state=CA&grup=Modoc NF
145,Jake Flat,SOCC,CA,CDF Tulare Unit,36.272222222222,-118.75583333333,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Jake Flat&gacc=SOCC&state=CA&grup=CDF Tulare Unit
146,Janesville,NOCC,CA,CalFire Lassen-Modoc Unit,40.329166666667,-120.53555555556,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=Janesville&gacc=NOCC&state=CA&grup=CalFire Lassen-Modoc Unit
147,Juanita,NOCC,CA,Klamath NF,41.801666666667,-122.10972222222,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Juanita&gacc=NOCC&state=CA&grup=Klamath NF
148,Juniper Creek C2B,NOCC,CA,BLM -Northern CA District,41.344722222222,-120.50416666667,0,1,http://www.wfas.net/nfmd/public/download_site_data.php?site=Juniper Creek C2B&gacc=NOCC&state=CA&grup=BLM -Northern CA District
149,Kanaka,NOCC,CA,PGE - NOCC,39.573888888889,-121.30583333333,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Kanaka&gacc=NOCC&state=CA&grup=PGE - NOCC
150,"Kinsman Ceanothus, Buckbrush New",SOCC,CA,Sierra NF,37.198055555556,-119.41972222222,0,3,"http://www.wfas.net/nfmd/public/download_site_data.php?site=Kinsman Ceanothus, Buckbrush New&gacc=SOCC&state=CA&grup=Sierra NF"
151,"Kinsman Ceanothus, Buckbrush Old",SOCC,CA,Sierra NF,37.198055555556,-119.41972222222,0,3,"http://www.wfas.net/nfmd/public/download_site_data.php?site=Kinsman Ceanothus, Buckbrush Old&gacc=SOCC&state=CA&grup=Sierra NF"
152,"Kinsman Manzanita, Whiteleaf New",SOCC,CA,Sierra NF,37.198055555556,-119.41972222222,0,3,"http://www.wfas.net/nfmd/public/download_site_data.php?site=Kinsman Manzanita, Whiteleaf New&gacc=SOCC&state=CA&grup=Sierra NF"
153,"Kinsman Manzanita, Whiteleaf Old",SOCC,CA,Sierra NF,37.198055555556,-119.41972222222,0,3,"http://www.wfas.net/nfmd/public/download_site_data.php?site=Kinsman Manzanita, Whiteleaf Old&gacc=SOCC&state=CA&grup=Sierra NF"
154,Konocti,NOCC,CA,CalFire Lake Napa Unit,38.920277777778,-122.72138888889,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Konocti&gacc=NOCC&state=CA&grup=CalFire Lake Napa Unit
155,"La Tuna Canyon, Tujunga",SOCC,CA,LA County,34.246666666667,-118.30277777778,0,2,"http://www.wfas.net/nfmd/public/download_site_data.php?site=La Tuna Canyon, Tujunga&gacc=SOCC&state=CA&grup=LA County"
156,Lady Bug,SOCC,CA,Angeles NF,34.261111111111,-118.115,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Lady Bug&gacc=SOCC&state=CA&grup=Angeles NF
157,Laguna Beach,SOCC,CA,Orange County Fire,33.551111111111,-117.78555555556,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Laguna Beach&gacc=SOCC&state=CA&grup=Orange County Fire
158,"Laguna Ridge, Casitas",SOCC,CA,Ventura County FD,34.4,-119.37888888889,0,2,"http://www.wfas.net/nfmd/public/download_site_data.php?site=Laguna Ridge, Casitas&gacc=SOCC&state=CA&grup=Ventura County FD"
159,Lake Hughes,SOCC,CA,Angeles NF,34.543333333333,-118.56138888889,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Lake Hughes&gacc=SOCC&state=CA&grup=Angeles NF
160,Lake Isabella new growth,SOCC,CA,Kern County FD,35.679444444444,-118.48111111111,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Lake Isabella new growth&gacc=SOCC&state=CA&grup=Kern County FD
